Date,Time,Booking ID,Booking Status,Customer ID,Vehicle Type,Pickup Location,Drop Location,Avg VTAT,Avg CTAT,Cancelled Rides by Customer,Reason for cancelling by Customer,Cancelled Rides by Driver,Driver Cancellation Reason,Incomplete Rides,Incomplete Rides Reason,Booking Value,Ride Distance,Driver Ratings,Customer Rating,Payment Method
04-11-2024,12:28:43,"""CNR7106262""",Cancelled by Driver,"""CID2069830""",Uber XL,Moti Nagar,Jhilmil,8.4,10,2,Driver issue,1,Customer related issue,1,Vehicle Breakdown,879,12.5,3.8,4,UPI
28-06-2024,17:31:04,"""CNR7792486""",Completed,"""CID7347570""",eBike,Rohini East,Tis Hazari,10,33.1,2,Driver issue,1,Customer related issue,1,Vehicle Breakdown,94,4.6,4.3,4.6,UPI
02-03-2024,20:54:01,"""CNR1719490""",Completed,"""CID3103351""",Go Mini,Greater Kailash,Sushant Lok,4.8,29.1,2,Driver issue,1,Customer related issue,1,Vehicle Breakdown,794,29.88,3.7,4.6,Uber Wallet
03-09-2024,08:47:58,"""CNR5038263""",Completed,"""CID3462408""",Go Sedan,Janakpuri,Tughlakabad,3,38.7,2,Driver issue,1,Customer related issue,1,Vehicle Breakdown,353,17.2,4.1,4.6,Credit Card
20-10-2024,14:00:22,"""CNR7903399""",Cancelled by Driver,"""CID5530156""",Go Sedan,Malviya Nagar,Sarojini Nagar,3.6,10,2,Driver issue,1,Customer related issue,1,Vehicle Breakdown,879,12.5,3.8,4,UPI
01-07-2024,23:40:39,"""CNR3654860""",Completed,"""CID8735020""",Go Mini,MG Road,Huda City Centre,3.3,26.7,2,Driver issue,1,Customer related issue,1,Vehicle Breakdown,782,45.75,4.2,3.7,Cash
05-09-2024,05:29:41,"""CNR3839253""",Cancelled by Driver,"""CID8296940""",Bike,Kadarpur,RK Puram,8.4,10,2,Driver issue,1,Personal & Car related issues,1,Vehicle Breakdown,879,12.5,3.8,4,UPI
03-06-2024,17:30:21,"""CNR4997319""",Cancelled by Driver,"""CID9601655""",Go Mini,Noida Sector 18,Vidhan Sabha,8,10,2,Driver issue,1,Customer related issue,1,Vehicle Breakdown,879,12.5,3.8,4,UPI
01-09-2024,01:29:24,"""CNR7005828""",Cancelled by Customer,"""CID6684624""",Go Sedan,Manesar,Pragati Maidan,6.5,10,2,Driver is not moving towards pickup location,1,Customer related issue,1,Vehicle Breakdown,879,12.5,3.8,4,UPI
18-12-2024,01:38:11,"""CNR7367804""",Completed,"""CID9720938""",Auto,Sarai Kale Khan,Uttam Nagar,9.3,21.5,2,Driver issue,1,Customer related issue,1,Vehicle Breakdown,535,16.11,4.3,5,Cash
05-09-2024,09:47:04,"""CNR1294202""",Completed,"""CID3586996""",Auto,Rohini East,Civil Lines Gurgaon,8.2,37.7,2,Driver issue,1,Customer related issue,1,Vehicle Breakdown,713,37.87,4.6,4.7,Cash
29-11-2024,05:47:27,"""CNR5989600""",No Driver Found,"""CID5134844""",Go Mini,Akshardham,Ramesh Nagar,5.6,10,2,Driver issue,1,Customer related issue,1,Vehicle Breakdown,879,12.5,3.8,4,UPI
17-12-2024,08:08:54,"""CNR5936986""",Cancelled by Driver,"""CID5471820""",Go Sedan,Kherki Daula Toll,Seelampur,6.7,10,2,Driver issue,1,Customer related issue,1,Vehicle Breakdown,879,12.5,3.8,4,UPI
21-03-2024,17:20:04,"""CNR8688984""",Completed,"""CID8871139""",Premier Sedan,Inderlok,Vinobapuri,7.1,25.1,2,Driver issue,1,Customer related issue,1,Vehicle Breakdown,316,31.58,3.7,4.5,UPI
08-03-2024,06:37:46,"""CNR1723782""",Completed,"""CID1506864""",Auto,Anand Vihar ISBT,IFFCO Chowk,2.4,21.1,2,Driver issue,1,Customer related issue,1,Vehicle Breakdown,1231,25,4.1,4.5,UPI
04-07-2024,22:26:18,"""CNR6579724""",Incomplete,"""CID7096475""",Auto,South Extension,Mehrauli,5.5,26.1,2,Driver issue,1,Customer related issue,1,Vehicle Breakdown,424,1.82,3.8,4,UPI
09-10-2024,07:53:25,"""CNR1104487""",Incomplete,"""CID2824139""",Go Sedan,Punjabi Bagh,Barakhamba Road,7.1,22.1,2,Driver issue,1,Customer related issue,1,Vehicle Breakdown,108,7.55,3.8,4,Cash
02-07-2024,17:39:46,"""CNR8282233""",Cancelled by Driver,"""CID6701358""",Bike,IIT Delhi,Meerut,5.1,10,2,Driver issue,1,The customer was coughing/sick,1,Vehicle Breakdown,879,12.5,3.8,4,UPI
16-01-2024,15:05:01,"""CNR1140585""",Completed,"""CID8223123""",Auto,Rithala,Delhi Gate,4.8,20.9,2,Driver issue,1,Customer related issue,1,Vehicle Breakdown,376,14.09,3.7,4.9,UPI
05-06-2024,17:10:49,"""CNR4301815""",Cancelled by Driver,"""CID5590376""",Go Sedan,Karkarduma,New Delhi Railway Station,7.2,10,2,Driver issue,1,The customer was coughing/sick,1,Vehicle Breakdown,879,12.5,3.8,4,UPI
18-01-2024,15:31:48,"""CNR7188716""",Completed,"""CID4179974""",Premier Sedan,Raj Nagar Extension,Pitampura,10.5,23.6,2,Driver issue,1,Customer related issue,1,Vehicle Breakdown,233,2.05,3,4.2,Cash
02-05-2024,20:37:55,"""CNR3832169""",Completed,"""CID1076764""",Go Sedan,Mundka,Ashok Vihar,2.2,32.2,2,Driver issue,1,Customer related issue,1,Vehicle Breakdown,241,33.33,4.3,4.9,Credit Card
01-08-2024,10:11:06,"""CNR6926572""",Completed,"""CID6205026""",Premier Sedan,Mayur Vihar,Central Secretariat,4.2,27.1,2,Driver issue,1,Customer related issue,1,Vehicle Breakdown,389,35.65,4.6,4.3,Uber Wallet
29-10-2024,12:55:13,"""CNR6739986""",Completed,"""CID6031014""",Bike,Golf Course Road,Jahangirpuri,10.2,28.4,2,Driver issue,1,Customer related issue,1,Vehicle Breakdown,95,15.8,3.9,3.2,Credit Card
23-11-2024,05:16:04,"""CNR9193232""",Cancelled by Driver,"""CID1554959""",Go Sedan,Noida Extension,Akshardham,11.9,10,2,Driver issue,1,Personal & Car related issues,1,Vehicle Breakdown,879,12.5,3.8,4,UPI
04-04-2024,08:33:06,"""CNR1987624""",Completed,"""CID5951946""",eBike,Vidhan Sabha,Kaushambi,9.6,42.6,2,Driver issue,1,Customer related issue,1,Vehicle Breakdown,568,8.99,4.3,4.6,Debit Card
21-03-2024,07:43:07,"""CNR5815048""",Completed,"""CID5562423""",Auto,Bhiwadi,Old Gurgaon,5.4,32,2,Driver issue,1,Customer related issue,1,Vehicle Breakdown,513,4.31,3.7,3.9,Cash
09-11-2024,11:20:25,"""CNR9779743""",Cancelled by Customer,"""CID9961616""",Auto,Noida Sector 18,Kalkaji,7.7,10,2,Change of plans,1,Customer related issue,1,Vehicle Breakdown,879,12.5,3.8,4,UPI
23-06-2024,16:02:18,"""CNR3652829""",Cancelled by Customer,"""CID9831650""",Go Mini,RK Puram,Seelampur,10.5,10,2,Driver is not moving towards pickup location,1,Customer related issue,1,Vehicle Breakdown,879,12.5,3.8,4,UPI
07-05-2024,07:16:24,"""CNR7073642""",Cancelled by Driver,"""CID5742500""",Bike,Satguru Ram Singh Marg,Jama Masjid,4.2,10,2,Driver issue,1,Customer related issue,1,Vehicle Breakdown,879,12.5,3.8,4,UPI
14-02-2024,21:58:13,"""CNR6219879""",Completed,"""CID2759093""",Bike,Chanakyapuri,Nehru Place,5.2,16.4,2,Driver issue,1,Customer related issue,1,Vehicle Breakdown,477,23.74,4.3,4.8,Debit Card
27-10-2024,09:05:13,"""CNR3508736""",Incomplete,"""CID3279404""",Go Mini,Barakhamba Road,Civil Lines Gurgaon,3.6,22.9,2,Driver issue,1,Customer related issue,1,Vehicle Breakdown,1756,17.91,3.8,4,UPI
18-03-2024,19:56:06,"""CNR6230493""",Completed,"""CID7675276""",eBike,Huda City Centre,Sushant Lok,14.9,19.9,2,Driver issue,1,Customer related issue,1,Vehicle Breakdown,225,9.97,3.3,4.8,Credit Card
17-04-2024,20:37:59,"""CNR8831282""",Completed,"""CID3612846""",Premier Sedan,Ashok Vihar,Bhiwadi,3.4,23.3,2,Driver issue,1,Customer related issue,1,Vehicle Breakdown,532,11.16,4.6,3.9,UPI
30-05-2024,13:09:01,"""CNR1689021""",Completed,"""CID6373840""",Auto,Manesar,Hauz Khas,14.7,38.1,2,Driver issue,1,Customer related issue,1,Vehicle Breakdown,101,39.87,3.4,4.9,UPI
31-10-2024,18:50:48,"""CNR9071562""",Completed,"""CID1007802""",Go Mini,Hero Honda Chowk,Tughlakabad,8.4,29.3,2,Driver issue,1,Customer related issue,1,Vehicle Breakdown,818,22.05,3.3,3.2,Cash
19-07-2024,16:06:50,"""CNR1622684""",Cancelled by Customer,"""CID4915148""",Go Mini,Dwarka Sector 21,IMT Manesar,5.3,10,2,Change of plans,1,Customer related issue,1,Vehicle Breakdown,879,12.5,3.8,4,UPI
08-07-2024,14:20:47,"""CNR9630217""",Cancelled by Driver,"""CID8484129""",Go Sedan,Barakhamba Road,DLF City Court,7.6,10,2,Driver issue,1,Personal & Car related issues,1,Vehicle Breakdown,879,12.5,3.8,4,UPI
26-10-2024,12:15:03,"""CNR8469920""",Completed,"""CID2950930""",Bike,Tughlakabad,Anand Vihar,2.8,42.4,2,Driver issue,1,Customer related issue,1,Vehicle Breakdown,1208,3.59,4.4,4.2,Cash
20-01-2024,17:30:58,"""CNR3300822""",Cancelled by Customer,"""CID7464516""",Bike,Badshahpur,Subhash Chowk,14.7,10,2,Driver is not moving towards pickup location,1,Customer related issue,1,Vehicle Breakdown,879,12.5,3.8,4,UPI
18-11-2024,20:08:46,"""CNR1025395""",Completed,"""CID2358946""",Bike,Basai Dhankot,South Extension,4.9,42.4,2,Driver issue,1,Customer related issue,1,Vehicle Breakdown,407,30.19,4.1,4,UPI
04-08-2024,03:54:05,"""CNR3996485""",No Driver Found,"""CID9986624""",Go Mini,Panipat,Meerut,5.6,10,2,Driver issue,1,Customer related issue,1,Vehicle Breakdown,879,12.5,3.8,4,UPI
24-11-2024,10:02:32,"""CNR3919704""",Cancelled by Driver,"""CID9886945""",eBike,Basai Dhankot,Shivaji Park,5.5,10,2,Driver issue,1,More than permitted people in there,1,Vehicle Breakdown,879,12.5,3.8,4,UPI
03-02-2024,17:33:02,"""CNR9605969""",Completed,"""CID1813081""",Auto,Paschim Vihar,DLF City Court,3.8,42.7,2,Driver issue,1,Customer related issue,1,Vehicle Breakdown,790,22.13,3.9,3.2,UPI
18-10-2024,08:26:47,"""CNR3293889""",Completed,"""CID5227850""",Premier Sedan,IMT Manesar,Mandi House,9,35.6,2,Driver issue,1,Customer related issue,1,Vehicle Breakdown,414,33.26,4.4,3.2,Credit Card
12-07-2024,20:09:43,"""CNR8433292""",Completed,"""CID9618676""",eBike,Subhash Chowk,Bhiwadi,10.7,30,2,Driver issue,1,Customer related issue,1,Vehicle Breakdown,170,24.24,4.6,5,UPI
04-04-2024,11:02:18,"""CNR1372084""",Completed,"""CID1772790""",Auto,India Gate,Mehrauli,12,39.8,2,Driver issue,1,Customer related issue,1,Vehicle Breakdown,459,14.6,3.7,3.7,UPI
14-09-2024,21:30:13,"""CNR4966866""",No Driver Found,"""CID2797709""",Go Sedan,Kalkaji,Nirman Vihar,5.6,10,2,Driver issue,1,Customer related issue,1,Vehicle Breakdown,879,12.5,3.8,4,UPI
03-09-2024,18:41:28,"""CNR5988524""",Completed,"""CID3611648""",Go Sedan,Sarai Kale Khan,Rajouri Garden,6.3,35.2,2,Driver issue,1,Customer related issue,1,Vehicle Breakdown,321,39.8,4,3.7,UPI
14-10-2024,05:39:13,"""CNR8089975""",No Driver Found,"""CID5867098""",Go Sedan,Rajiv Chowk,Jama Masjid,5.6,10,2,Driver issue,1,Customer related issue,1,Vehicle Breakdown,879,12.5,3.8,4,UPI
14-09-2024,18:44:52,"""CNR7876366""",Completed,"""CID3013098""",Auto,Moolchand,Anand Vihar,7.2,38.9,2,Driver issue,1,Customer related issue,1,Vehicle Breakdown,1424,45.53,4,4.8,Credit Card
08-03-2024,19:28:03,"""CNR2695161""",Completed,"""CID4031279""",Go Mini,Mehrauli,Vidhan Sabha,8.5,31.1,2,Driver issue,1,Customer related issue,1,Vehicle Breakdown,1114,42.7,4.6,3.9,Credit Card
06-10-2024,13:12:09,"""CNR8401258""",Incomplete,"""CID9634516""",Premier Sedan,Vidhan Sabha,Dwarka Mor,3.9,10.5,2,Driver issue,1,Customer related issue,1,Vehicle Breakdown,1206,10.05,3.8,4,Credit Card
12-07-2024,23:09:32,"""CNR9958806""",Completed,"""CID7126774""",Go Mini,Patel Chowk,RK Puram,11,30,2,Driver issue,1,Customer related issue,1,Vehicle Breakdown,620,40.73,4,4.9,UPI
07-07-2024,08:26:57,"""CNR5815209""",Cancelled by Driver,"""CID2844253""",Auto,Yamuna Bank,Pulbangash,9.4,10,2,Driver issue,1,The customer was coughing/sick,1,Vehicle Breakdown,879,12.5,3.8,4,UPI
14-09-2024,18:17:21,"""CNR6853421""",Cancelled by Driver,"""CID6364788""",eBike,Mandi House,AIIMS,6.8,10,2,Driver issue,1,The customer was coughing/sick,1,Vehicle Breakdown,879,12.5,3.8,4,UPI
09-09-2024,13:38:19,"""CNR7188673""",Completed,"""CID6747804""",Auto,Raj Nagar Extension,Green Park,3.1,20.8,2,Driver issue,1,Customer related issue,1,Vehicle Breakdown,292,22.1,4.5,5,UPI
15-04-2024,14:50:38,"""CNR6538428""",Completed,"""CID3637484""",Go Mini,Moti Nagar,Cyber Hub,9,38.4,2,Driver issue,1,Customer related issue,1,Vehicle Breakdown,59,33.07,4.2,4.2,UPI
30-09-2024,18:17:40,"""CNR9424498""",Completed,"""CID7696223""",Auto,Kirti Nagar,Jasola,7.5,28.3,2,Driver issue,1,Customer related issue,1,Vehicle Breakdown,1566,15.74,4.7,4.2,Cash
29-04-2024,19:29:04,"""CNR5262324""",Completed,"""CID2239791""",Go Mini,Ghitorni,Subhash Chowk,9.2,22,2,Driver issue,1,Customer related issue,1,Vehicle Breakdown,644,37.08,3.7,4.9,Cash
17-01-2024,17:13:26,"""CNR6315886""",Completed,"""CID4632999""",Premier Sedan,Adarsh Nagar,Madipur,6.3,38.1,2,Driver issue,1,Customer related issue,1,Vehicle Breakdown,380,15.23,4,4.8,UPI
15-04-2024,11:41:22,"""CNR5457926""",Cancelled by Driver,"""CID4629245""",Bike,Pragati Maidan,New Colony,11.3,10,2,Driver issue,1,Personal & Car related issues,1,Vehicle Breakdown,879,12.5,3.8,4,UPI
26-07-2024,19:14:47,"""CNR6791480""",Incomplete,"""CID5295529""",Go Mini,Saidulajab,Udyog Bhawan,7.1,23.7,2,Driver issue,1,Customer related issue,1,Vehicle Breakdown,148,14.59,3.8,4,UPI
12-05-2024,06:46:16,"""CNR1101964""",Completed,"""CID3734303""",Auto,Madipur,Noida Extension,6,22.7,2,Driver issue,1,Customer related issue,1,Vehicle Breakdown,88,39.34,4.3,4.3,Cash
14-08-2024,05:34:18,"""CNR1746091""",Completed,"""CID9616681""",Go Mini,Chanakyapuri,Mayur Vihar,7.9,38.3,2,Driver issue,1,Customer related issue,1,Vehicle Breakdown,964,30.33,4.2,4.9,Credit Card
25-01-2024,11:03:45,"""CNR1602441""",Completed,"""CID7582731""",Bike,Moti Nagar,Kirti Nagar,14.4,37.2,2,Driver issue,1,Customer related issue,1,Vehicle Breakdown,806,44.79,3.6,4.6,Credit Card
09-04-2024,10:51:10,"""CNR6218385""",Cancelled by Driver,"""CID5179412""",Premier Sedan,Saket A Block,Mehrauli,9.4,10,2,Driver issue,1,More than permitted people in there,1,Vehicle Breakdown,879,12.5,3.8,4,UPI
02-09-2024,18:23:47,"""CNR9795545""",Completed,"""CID1700582""",Go Mini,Ardee City,Rajiv Nagar,14.3,31.8,2,Driver issue,1,Customer related issue,1,Vehicle Breakdown,377,35.4,4.4,4.1,UPI
21-06-2024,15:12:31,"""CNR6926377""",Incomplete,"""CID9376469""",eBike,Saidulajab,Mehrauli,8.3,13.3,2,Driver issue,1,Customer related issue,1,Vehicle Breakdown,236,6.01,3.8,4,Cash
25-11-2024,08:21:59,"""CNR3285458""",Completed,"""CID1653839""",Premier Sedan,Shastri Nagar,INA Market,5.4,31.3,2,Driver issue,1,Customer related issue,1,Vehicle Breakdown,304,15.23,3.8,4.9,UPI
03-02-2024,16:19:18,"""CNR7449779""",Cancelled by Driver,"""CID5373195""",Premier Sedan,Malviya Nagar,Cyber Hub,5.6,10,2,Driver issue,1,Personal & Car related issues,1,Vehicle Breakdown,879,12.5,3.8,4,UPI
17-06-2024,15:00:05,"""CNR5079450""",Completed,"""CID5731270""",Bike,Golf Course Road,Rithala,11.6,28.5,2,Driver issue,1,Customer related issue,1,Vehicle Breakdown,339,3.18,4.4,3.9,Credit Card
20-03-2024,17:39:56,"""CNR4627004""",Completed,"""CID7117574""",Auto,Sarai Kale Khan,Dilshad Garden,9.5,22.5,2,Driver issue,1,Customer related issue,1,Vehicle Breakdown,312,25.46,3.9,5,Debit Card
18-05-2024,21:31:12,"""CNR3136791""",Completed,"""CID3926733""",Auto,Sadar Bazar Gurgaon,Gurgaon Railway Station,4.1,22,2,Driver issue,1,Customer related issue,1,Vehicle Breakdown,604,24.77,4.1,4.6,Cash
30-08-2024,10:55:14,"""CNR8293728""",Completed,"""CID5978297""",Bike,Peeragarhi,Karkarduma,10.7,27.6,2,Driver issue,1,Customer related issue,1,Vehicle Breakdown,576,18.39,4.2,5,Credit Card
10-12-2024,08:02:34,"""CNR2690101""",Completed,"""CID5917828""",Bike,Jama Masjid,Subhash Nagar,14.6,42.2,2,Driver issue,1,Customer related issue,1,Vehicle Breakdown,256,42.23,4.7,4.8,UPI
28-02-2024,19:09:17,"""CNR7468182""",Completed,"""CID9036186""",Go Sedan,Saket A Block,Golf Course Road,13.5,18,2,Driver issue,1,Customer related issue,1,Vehicle Breakdown,350,40.21,4.7,4.9,UPI
05-06-2024,08:27:56,"""CNR1809519""",Completed,"""CID8123317""",Auto,Shastri Nagar,Narsinghpur,14.6,22.7,2,Driver issue,1,Customer related issue,1,Vehicle Breakdown,702,44.59,4.4,4.4,Cash
28-08-2024,16:27:00,"""CNR1973418""",Cancelled by Driver,"""CID6600961""",Auto,Dwarka Sector 21,Patel Chowk,10,10,2,Driver issue,1,Customer related issue,1,Vehicle Breakdown,879,12.5,3.8,4,UPI
22-12-2024,07:17:10,"""CNR4869285""",Incomplete,"""CID4659677""",Auto,Aya Nagar,DLF City Court,3.6,23.4,2,Driver issue,1,Customer related issue,1,Vehicle Breakdown,1325,11.82,3.8,4,Credit Card
25-05-2024,18:00:33,"""CNR8768611""",Completed,"""CID5612825""",Auto,Qutub Minar,Udyog Vihar,9.9,37.7,2,Driver issue,1,Customer related issue,1,Vehicle Breakdown,1629,30.65,3.7,4.6,Cash
24-06-2024,06:22:31,"""CNR9694431""",Completed,"""CID5450433""",eBike,Noida Sector 18,Satguru Ram Singh Marg,3.5,22.7,2,Driver issue,1,Customer related issue,1,Vehicle Breakdown,346,6.3,4.6,4.3,Uber Wallet
27-10-2024,18:26:57,"""CNR5891068""",Incomplete,"""CID6029742""",eBike,Badshahpur,Paschim Vihar,2.6,11.6,2,Driver issue,1,Customer related issue,1,Vehicle Breakdown,893,19.37,3.8,4,Debit Card
21-02-2024,20:33:54,"""CNR9826281""",No Driver Found,"""CID2886752""",Go Sedan,Noida Sector 18,Tilak Nagar,5.6,10,2,Driver issue,1,Customer related issue,1,Vehicle Breakdown,879,12.5,3.8,4,UPI
26-10-2024,11:38:35,"""CNR1397007""",Completed,"""CID1925691""",Auto,Vishwavidyalaya,IMT Manesar,8.9,38,2,Driver issue,1,Customer related issue,1,Vehicle Breakdown,492,23.78,4.6,4.6,UPI
06-11-2024,17:30:18,"""CNR5662521""",Completed,"""CID2302789""",Auto,AIIMS,Chandni Chowk,10.6,40.4,2,Driver issue,1,Customer related issue,1,Vehicle Breakdown,496,22.45,4.9,4.1,UPI
08-09-2024,14:05:06,"""CNR2060540""",Completed,"""CID3294270""",Auto,Jahangirpuri,Nawada,14.9,31.2,2,Driver issue,1,Customer related issue,1,Vehicle Breakdown,1303,38.92,4.2,4.3,Cash
12-04-2024,21:27:36,"""CNR9176139""",Completed,"""CID8620844""",Premier Sedan,Noida Sector 18,Indirapuram,14.8,38.7,2,Driver issue,1,Customer related issue,1,Vehicle Breakdown,1371,48.16,4,4.8,Cash
23-02-2024,16:02:15,"""CNR5461239""",Completed,"""CID4592088""",Go Sedan,Sadar Bazar Gurgaon,Preet Vihar,2.3,39.4,2,Driver issue,1,Customer related issue,1,Vehicle Breakdown,135,40.37,4.2,4.3,UPI
24-02-2024,21:14:09,"""CNR6159551""",Completed,"""CID3215762""",Auto,Kherki Daula Toll,MG Road,11,38.9,2,Driver issue,1,Customer related issue,1,Vehicle Breakdown,350,36.45,4.3,3.6,UPI
16-12-2024,18:47:45,"""CNR5738948""",Completed,"""CID1538873""",Auto,Welcome,Panipat,4.7,22.7,2,Driver issue,1,Customer related issue,1,Vehicle Breakdown,703,19.52,4.4,3,UPI
05-02-2024,03:02:50,"""CNR6384722""",Completed,"""CID2795522""",Auto,Karkarduma,Pulbangash,14.5,21.8,2,Driver issue,1,Customer related issue,1,Vehicle Breakdown,281,33.88,4.5,3.8,UPI
15-08-2024,05:59:27,"""CNR8217990""",Completed,"""CID9987525""",Premier Sedan,Ghitorni Village,Paharganj,2.5,36.4,2,Driver issue,1,Customer related issue,1,Vehicle Breakdown,146,44.71,4.3,5,Debit Card
10-01-2024,12:45:26,"""CNR4163837""",Completed,"""CID3112728""",Bike,Moti Nagar,Yamuna Bank,13.6,35.4,2,Driver issue,1,Customer related issue,1,Vehicle Breakdown,404,33.39,4.5,4.6,UPI
09-04-2024,11:11:03,"""CNR7034379""",Cancelled by Customer,"""CID7568600""",Auto,Hero Honda Chowk,Udyog Vihar Phase 4,15.2,10,2,Driver asked to cancel,1,Customer related issue,1,Vehicle Breakdown,879,12.5,3.8,4,UPI
11-06-2024,17:06:56,"""CNR1987977""",Completed,"""CID7640398""",Go Mini,Old Gurgaon,Inderlok,11.7,22.5,2,Driver issue,1,Customer related issue,1,Vehicle Breakdown,217,19.76,3.8,4.3,Cash
06-04-2024,19:22:34,"""CNR6628285""",Completed,"""CID4918413""",Go Sedan,Rohini,Tagore Garden,12.9,39.8,2,Driver issue,1,Customer related issue,1,Vehicle Breakdown,263,22.43,3.7,3.8,Cash
29-12-2024,21:18:27,"""CNR7370617""",Completed,"""CID8114243""",Go Mini,Mayur Vihar,Khandsa,15,23,2,Driver issue,1,Customer related issue,1,Vehicle Breakdown,570,27.32,3.6,3.6,UPI
02-03-2024,18:17:38,"""CNR3650041""",Completed,"""CID8517405""",Go Sedan,Kashmere Gate,Samaypur Badli,4.9,42,2,Driver issue,1,Customer related issue,1,Vehicle Breakdown,680,45.21,4.2,4.4,UPI
19-07-2024,12:03:44,"""CNR5296490""",Completed,"""CID3160631""",Go Sedan,GTB Nagar,Keshav Puram,9.3,22.6,2,Driver issue,1,Customer related issue,1,Vehicle Breakdown,270,12.01,4.3,4.2,UPI
10-02-2024,09:19:18,"""CNR9079502""",Cancelled by Driver,"""CID9839141""",eBike,Pragati Maidan,Kashmere Gate ISBT,5,10,2,Driver issue,1,The customer was coughing/sick,1,Vehicle Breakdown,879,12.5,3.8,4,UPI
13-09-2024,19:31:23,"""CNR9244220""",Completed,"""CID3131849""",Go Sedan,Adarsh Nagar,Janakpuri,14.9,35.5,2,Driver issue,1,Customer related issue,1,Vehicle Breakdown,173,2.07,4.2,4.1,Cash
18-01-2024,21:02:17,"""CNR4985831""",Completed,"""CID9324410""",Auto,Qutub Minar,Kanhaiya Nagar,14,25.1,2,Driver issue,1,Customer related issue,1,Vehicle Breakdown,2328,20.39,4.5,5,UPI
23-02-2024,16:10:04,"""CNR5228561""",No Driver Found,"""CID8083087""",Bike,Ambience Mall,Chirag Delhi,5.6,10,2,Driver issue,1,Customer related issue,1,Vehicle Breakdown,879,12.5,3.8,4,UPI
27-03-2024,03:02:22,"""CNR8617202""",Completed,"""CID4256745""",Uber XL,Barakhamba Road,Keshav Puram,14.3,30.8,2,Driver issue,1,Customer related issue,1,Vehicle Breakdown,158,15.02,4.3,4.2,Cash
26-12-2024,12:34:27,"""CNR7915220""",Completed,"""CID1321883""",Go Mini,Karkarduma,Chanakyapuri,13,15.5,2,Driver issue,1,Customer related issue,1,Vehicle Breakdown,808,34.4,4.2,4.3,UPI
17-05-2024,19:33:32,"""CNR2978153""",Completed,"""CID9043060""",eBike,IMT Manesar,AIIMS,11.1,36.2,2,Driver issue,1,Customer related issue,1,Vehicle Breakdown,651,25.3,4.4,4.7,UPI
30-08-2024,22:28:48,"""CNR5758515""",Incomplete,"""CID2097101""",Bike,Barakhamba Road,Huda City Centre,2.2,21.7,2,Driver issue,1,Customer related issue,1,Vehicle Breakdown,191,1.51,3.8,4,Cash
12-10-2024,18:49:01,"""CNR8527989""",Completed,"""CID1224357""",Go Mini,Rohini East,Kashmere Gate,8,15.5,2,Driver issue,1,Customer related issue,1,Vehicle Breakdown,83,13.4,4.1,3.8,Cash
14-01-2024,05:53:10,"""CNR4285344""",No Driver Found,"""CID6542858""",Premier Sedan,Rohini East,Welcome,5.6,10,2,Driver issue,1,Customer related issue,1,Vehicle Breakdown,879,12.5,3.8,4,UPI
06-04-2024,05:54:59,"""CNR4065133""",Cancelled by Customer,"""CID7152206""",Bike,Mundka,Subhash Nagar,6.8,10,2,Wrong Address,1,Customer related issue,1,Vehicle Breakdown,879,12.5,3.8,4,UPI
17-09-2024,19:14:16,"""CNR5718865""",Completed,"""CID5298297""",Auto,Anand Vihar,Shivaji Park,4.7,15.4,2,Driver issue,1,Customer related issue,1,Vehicle Breakdown,447,7.13,4.2,4.3,UPI
25-10-2024,15:03:17,"""CNR8538038""",No Driver Found,"""CID6111848""",Go Sedan,Shastri Park,Chhatarpur,5.6,10,2,Driver issue,1,Customer related issue,1,Vehicle Breakdown,879,12.5,3.8,4,UPI
28-07-2024,10:50:15,"""CNR9190946""",Completed,"""CID8446354""",Go Sedan,Paschim Vihar,Raj Nagar Extension,10,18.2,2,Driver issue,1,Customer related issue,1,Vehicle Breakdown,219,27.54,4.7,4.8,UPI
28-01-2024,05:27:38,"""CNR4518559""",Completed,"""CID5100197""",Auto,Govindpuri,Gurgaon Sector 29,9.3,41.2,2,Driver issue,1,Customer related issue,1,Vehicle Breakdown,301,42.06,3.4,4.4,UPI
27-01-2024,19:39:20,"""CNR7230275""",Completed,"""CID1975306""",eBike,Rohini West,IGNOU Road,13.5,17.1,2,Driver issue,1,Customer related issue,1,Vehicle Breakdown,601,2.11,4.1,4.9,UPI
29-05-2024,15:39:58,"""CNR4467680""",Completed,"""CID6499247""",Auto,GTB Nagar,Yamuna Bank,3.2,20.1,2,Driver issue,1,Customer related issue,1,Vehicle Breakdown,233,3.67,4.2,5,Cash
15-01-2024,08:49:04,"""CNR2948221""",Completed,"""CID9897255""",Go Sedan,Sadar Bazar Gurgaon,Sarai Kale Khan,10.5,19.5,2,Driver issue,1,Customer related issue,1,Vehicle Breakdown,543,27.36,5,4.9,Uber Wallet
03-12-2024,09:12:12,"""CNR5422926""",Cancelled by Driver,"""CID1797052""",Bike,Kaushambi,Tis Hazari,4.8,10,2,Driver issue,1,More than permitted people in there,1,Vehicle Breakdown,879,12.5,3.8,4,UPI
24-10-2024,02:55:34,"""CNR7541758""",Completed,"""CID2195531""",Go Mini,Paharganj,Samaypur Badli,12.3,30.9,2,Driver issue,1,Customer related issue,1,Vehicle Breakdown,836,3.7,4,4.9,UPI
